12/2/2026, 10:57:02 am | GET | /
12/2/2026, 10:57:13 am | POST | /students/register
12/2/2026, 10:57:15 am | POST | /students/register
12/2/2026, 10:58:27 am | POST | /students/register
12/2/2026, 10:58:46 am | GET | /students/register
12/2/2026, 10:58:51 am | GET | /students
12/2/2026, 10:58:53 am | GET | /students
12/2/2026, 10:58:54 am | GET | /students
12/2/2026, 10:58:57 am | GET | /students/
12/2/2026, 10:58:58 am | GET | /students/
12/2/2026, 10:59:07 am | GET | /student/
12/2/2026, 11:05:39 am | GET | /
12/2/2026, 11:05:46 am | GET | /
12/2/2026, 11:09:10 am | GET | /
12/2/2026, 11:09:13 am | GET | /
12/2/2026, 11:09:16 am | GET | /
12/2/2026, 11:12:10 am | GET | /
12/2/2026, 11:12:11 am | GET | /
12/2/2026, 11:12:12 am | GET | /
12/2/2026, 11:12:12 am | GET | /
12/2/2026, 11:12:28 am | GET | /
12/2/2026, 11:13:22 am | GET | /
12/2/2026, 11:13:23 am | GET | /
12/2/2026, 11:13:26 am | GET | /
12/2/2026, 11:13:50 am | GET | /
12/2/2026, 11:15:54 am | GET | /
12/2/2026, 11:15:57 am | GET | /students
12/2/2026, 11:15:59 am | GET | /
12/2/2026, 11:16:26 am | POST | /student/
12/2/2026, 11:16:32 am | POST | /student/register
12/2/2026, 11:16:36 am | POST | /student/register/
12/2/2026, 11:16:41 am | POST | /student/register/
12/2/2026, 11:18:10 am | POST | /student/register/
12/2/2026, 11:18:19 am | POST | /students/register
12/2/2026, 11:18:24 am | GET | /students
12/2/2026, 11:18:41 am | POST | /students/register/
12/2/2026, 11:18:44 am | POST | /students/register/
12/2/2026, 11:18:54 am | GET | /
12/2/2026, 11:18:55 am | GET | /students
12/2/2026, 11:18:57 am | GET | /students
12/2/2026, 11:19:06 am | POST | /students/register/
12/2/2026, 11:19:10 am | GET | /students
12/2/2026, 11:51:17 am | POST | /students/register/
12/2/2026, 11:51:21 am | GET | /students
12/2/2026, 11:51:29 am | POST | /students/register/
12/2/2026, 11:51:39 am | DELETE | /students/register/
12/2/2026, 11:51:42 am | DELETE | /students/register/
12/2/2026, 11:52:06 am | GET | /students
12/2/2026, 11:53:19 am | GET | /
12/2/2026, 11:53:23 am | GET | /students
